BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
196103,12,1750,196103,12,1750,,9981365,ARKANSAS,5,1961,March,Tornado,C,119,PULASKI,,12-MAR-61 17:50:00,CST,12-MAR-61 17:50:00,0,0,0,0,25K,0,,0,,,,,5.4,100,,,,,0,,,0,,,34.60,-92.20,34.63,-92.12,,,PUB
196103,12,1800,196103,12,1800,,9981366,ARKANSAS,5,1961,March,Tornado,C,9,BOONE,,12-MAR-61 18:00:00,CST,12-MAR-61 18:00:00,4,0,0,0,250K,0,,0,,,,F2,19,333,,,,,0,,,0,,,36.27,-93.23,36.50,-93.05,,,PUB
196103,12,1800,196103,12,1800,,9981367,ARKANSAS,5,1961,March,Tornado,C,105,PERRY,,12-MAR-61 18:00:00,CST,12-MAR-61 18:00:00,0,0,0,0,25K,0,,0,,,,F2,2,417,,,,,0,,,0,,,34.87,-93.20,,,,,PUB
196103,12,1800,196103,12,1800,,9981368,ARKANSAS,5,1961,March,Tornado,C,105,PERRY,,12-MAR-61 18:00:00,CST,12-MAR-61 18:00:00,0,0,0,0,0K,0,,0,,,,F2,2,417,,,,,0,,,0,,,34.87,-92.97,,,,,PUB
196103,12,1800,196103,12,1800,,9981369,ARKANSAS,5,1961,March,Tornado,C,119,PULASKI,,12-MAR-61 18:00:00,CST,12-MAR-61 18:00:00,0,0,0,0,250K,0,,0,,,,F2,5.6,417,,,,,0,,,0,,,34.92,-92.62,34.95,-92.53,,,PUB
196103,12,1810,196103,12,1810,,9981370,ARKANSAS,5,1961,March,Tornado,C,45,FAULKNER,,12-MAR-61 18:10:00,CST,12-MAR-61 18:10:00,12,0,0,0,250K,0,,0,,,,F2,26.7,417,,,,,0,,,0,,,34.95,-92.53,35.13,-92.12,,,PUB
196103,12,1845,196103,12,1845,,9981374,ARKANSAS,5,1961,March,Tornado,C,145,WHITE,,12-MAR-61 18:45:00,CST,12-MAR-61 18:45:00,0,0,0,0,250K,0,,0,,,,F2,1.9,417,,,,,0,,,0,,,35.13,-92.12,35.15,-92.08,,,PUB
196103,12,1900,196103,12,1900,,9981376,ARKANSAS,5,1961,March,Tornado,C,129,SEARCY,,12-MAR-61 19:00:00,CST,12-MAR-61 19:00:00,2,0,0,0,250K,0,,0,,,,F2,18.8,833,,,,,0,,,0,,,35.75,-92.85,35.92,-92.58,,,PUB
196103,12,1935,196103,12,1935,,9981377,ARKANSAS,5,1961,March,Tornado,C,19,CLARK,,12-MAR-61 19:35:00,CST,12-MAR-61 19:35:00,0,0,0,0,25K,0,,0,,,,F1,2,50,,,,,0,,,0,,,34.18,-93.13,,,,,PUB
196103,12,2030,196103,12,2030,,9981378,ARKANSAS,5,1961,March,Tornado,C,53,GRANT,,12-MAR-61 20:30:00,CST,12-MAR-61 20:30:00,0,0,0,0,250K,0,,0,,,,F1,9.2,333,,,,,0,,,0,,,34.28,-92.55,34.33,-92.40,,,PUB
196103,12,2030,196103,12,2030,,9981379,ARKANSAS,5,1961,March,Tornado,C,147,WOODRUFF,,12-MAR-61 20:30:00,CST,12-MAR-61 20:30:00,12,0,0,0,250K,0,,0,,,,F3,5.1,300,,,,,0,,,0,,,35.28,-91.32,35.33,-91.25,,,PUB
196103,12,2100,196103,12,2100,,9981380,ARKANSAS,5,1961,March,Tornado,C,101,NEWTON,,12-MAR-61 21:00:00,CST,12-MAR-61 21:00:00,0,0,0,0,0K,0,,0,,,,F1,0,417,,,,,0,,,0,,,35.95,-93.07,,,,,PUB
196103,12,2100,196103,12,2100,,9981381,ARKANSAS,5,1961,March,Tornado,C,111,POINSETT,,12-MAR-61 21:00:00,CST,12-MAR-61 21:00:00,0,0,0,0,250K,0,,0,,,,F1,15.1,417,,,,,0,,,0,,,35.48,-90.98,35.57,-90.73,,,PUB
196105,8,1920,196105,8,1920,,9981420,ARKANSAS,5,1961,May,Tornado,C,63,INDEPENDENCE,,08-MAY-61 19:20:00,CST,08-MAY-61 19:20:00,0,0,0,0,25K,0,,0,,,,F1,4.3,200,,,,,0,,,0,,,35.82,-91.60,35.85,-91.53,,,PUB
196105,14,1400,196105,14,1400,,9981421,ARKANSAS,5,1961,May,Tornado,C,121,RANDOLPH,,14-MAY-61 14:00:00,CST,14-MAY-61 14:00:00,0,0,0,0,2.5K,0,,0,,,,F1,0,100,,,,,0,,,0,,,36.18,-90.97,,,,,PUB
196105,14,1620,196105,14,1620,,9981422,ARKANSAS,5,1961,May,Tornado,C,1,ARKANSAS,,14-MAY-61 16:20:00,CST,14-MAY-61 16:20:00,0,0,0,0,25K,0,,0,,,,F2,5.9,417,,,,,0,,,0,,,34.50,-91.60,34.55,-91.52,,,PUB
196103,26,2330,196103,26,2330,,9981385,ARKANSAS,5,1961,March,Tornado,C,1,ARKANSAS,,26-MAR-61 23:30:00,CST,26-MAR-61 23:30:00,6,0,0,0,250K,0,,0,,,,F2,1.5,333,,,,,0,,,0,,,34.48,-91.55,,,,,PUB
196105,5,2030,196105,5,2030,,9981402,ARKANSAS,5,1961,May,Tornado,C,115,POPE,,05-MAY-61 20:30:00,CST,05-MAY-61 20:30:00,4,0,1,0,25K,0,,0,,,,F2,1,50,,,,,0,,,0,,,35.45,-93.13,,,,,PUB
196105,5,2100,196105,5,2100,,9981403,ARKANSAS,5,1961,May,Tornado,C,51,GARLAND,,05-MAY-61 21:00:00,CST,05-MAY-61 21:00:00,6,0,0,0,250K,0,,0,,,,F2,2,300,,,,,0,,,0,,,34.52,-93.13,,,,,PUB
196105,5,2230,196105,5,2230,,9981404,ARKANSAS,5,1961,May,Tornado,C,45,FAULKNER,,05-MAY-61 22:30:00,CST,05-MAY-61 22:30:00,3,0,0,0,25K,0,,0,,,,F1,2.5,833,,,,,0,,,0,,,35.07,-92.43,,,,,PUB
196105,6,15,196105,6,15,,9981407,ARKANSAS,5,1961,May,Tornado,C,119,PULASKI,,06-MAY-61 00:15:00,CST,06-MAY-61 00:15:00,3,0,0,0,250K,0,,0,,,,F1,1,200,,,,,0,,,0,,,34.63,-92.25,,,,,PUB
196105,6,2356,196105,6,2356,,9981412,ARKANSAS,5,1961,May,Tornado,C,63,INDEPENDENCE,,06-MAY-61 23:56:00,CST,06-MAY-61 23:56:00,0,0,0,0,250K,0,,0,,,,F2,5.6,200,,,,,0,,,0,,,35.65,-91.43,35.70,-91.35,,,PUB
196105,7,100,196105,7,100,,9981413,ARKANSAS,5,1961,May,Tornado,C,89,MARION,,07-MAY-61 01:00:00,CST,07-MAY-61 01:00:00,9,0,3,0,2.5M,0,,0,,,,F3,14.2,1760,,,,,0,,,0,,,36.12,-92.78,36.30,-92.67,,,PUB
196105,7,200,196105,7,200,,9981414,ARKANSAS,5,1961,May,Tornado,C,129,SEARCY,,07-MAY-61 02:00:00,CST,07-MAY-61 02:00:00,0,0,0,0,25K,0,,0,,,,F2,10.8,333,,,,,0,,,0,,,36.07,-92.87,36.12,-92.68,,,PUB
196105,7,215,196105,7,215,,9981415,ARKANSAS,5,1961,May,Tornado,C,89,MARION,,07-MAY-61 02:15:00,CST,07-MAY-61 02:15:00,1,0,0,0,2.5M,0,,0,,,,F3,23.5,333,,,,,0,,,0,,,36.20,-92.50,36.50,-92.30,,,PUB
196105,8,500,196105,8,500,,9981416,ARKANSAS,5,1961,May,Tornado,C,129,SEARCY,,08-MAY-61 05:00:00,CST,08-MAY-61 05:00:00,0,0,0,0,25K,0,,0,,,,F2,1.5,33,,,,,0,,,0,,,36.03,-92.80,,,,,PUB
196105,8,830,196105,8,830,,9981417,ARKANSAS,5,1961,May,Tornado,C,59,HOT SPRING,,08-MAY-61 08:30:00,CST,08-MAY-61 08:30:00,0,0,0,0,0K,0,,0,,,,F1,.3,100,,,,,0,,,0,,,34.20,-92.73,,,,,PUB
196103,12,1830,196103,12,1830,,9981373,ARKANSAS,5,1961,March,Tornado,C,89,MARION,,12-MAR-61 18:30:00,CST,12-MAR-61 18:30:00,0,0,0,0,250K,0,,0,,,,F1,19.8,250,,,,,0,,,0,,,36.17,-92.82,36.38,-92.58,,,PUB
196105,6,2330,196105,6,2330,,9981411,ARKANSAS,5,1961,May,Tornado,C,145,WHITE,,06-MAY-61 23:30:00,CST,06-MAY-61 23:30:00,6,0,2,0,250K,0,,0,,,,F2,1.5,300,,,,,0,,,0,,,35.53,-91.58,,,,,PUB
197605,12,1538,197605,12,1538,,9982320,ARKANSAS,5,1976,May,Tornado,C,51,GARLAND,,12-MAY-76 15:38:00,CST,12-MAY-76 15:38:00,0,0,0,0,2.5K,0,,0,,,,F1,.3,20,,,,,0,,,0,,,34.68,-93.10,,,,,PUB
197605,26,1729,197605,26,1729,,9982322,ARKANSAS,5,1976,May,Tornado,C,91,MILLER,,26-MAY-76 17:29:00,CST,26-MAY-76 17:29:00,0,0,0,0,0K,0,,0,,,,F1,1,30,,,,,0,,,0,,,33.45,-93.78,,,,,PUB
197607,2,2015,197607,2,2015,,9982334,ARKANSAS,5,1976,July,Tornado,C,15,CARROLL,,02-JUL-76 20:15:00,CST,02-JUL-76 20:15:00,0,0,0,0,0K,0,,0,,,,F0,.3,10,,,,,0,,,0,,,36.30,-93.40,,,,,PUB
197608,14,1647,197608,14,1647,,9982345,ARKANSAS,5,1976,August,Tornado,C,89,MARION,,14-AUG-76 16:47:00,CST,14-AUG-76 16:47:00,2,0,0,0,250K,0,,0,,,,,.1,17,,,,,0,,,0,,,36.52,-92.77,,,,,PUB
197603,29,1507,197603,29,1507,,9982290,ARKANSAS,5,1976,March,Tornado,C,119,PULASKI,,29-MAR-76 15:07:00,CST,29-MAR-76 15:07:00,0,0,0,0,2.5K,0,,0,,,,F3,4.7,100,,,,,0,,,0,,,34.87,-92.17,34.90,-92.10,,,PUB
197603,29,1515,197603,29,1515,,9982291,ARKANSAS,5,1976,March,Tornado,C,85,LONOKE,,29-MAR-76 15:15:00,CST,29-MAR-76 15:15:00,64,0,5,0,25M,0,,0,,,,F3,12.5,100,,,,,0,,,0,,,34.90,-92.10,35.00,-91.92,,,PUB
197603,29,1525,197603,29,1525,,9982292,ARKANSAS,5,1976,March,Tornado,C,23,CLEBURNE,,29-MAR-76 15:25:00,CST,29-MAR-76 15:25:00,6,0,1,0,250K,0,,0,,,,F3,16.5,50,,,,,0,,,0,,,35.55,-92.13,35.65,-91.87,,,PUB
197603,29,1649,197603,29,1649,,9982294,ARKANSAS,5,1976,March,Tornado,C,75,LAWRENCE,,29-MAR-76 16:49:00,CST,29-MAR-76 16:49:00,0,0,0,0,2.5K,0,,0,,,,F1,1,100,,,,,0,,,0,,,36.25,-91.25,,,,,PUB
197603,29,1700,197603,29,1700,,9982295,ARKANSAS,5,1976,March,Tornado,C,75,LAWRENCE,,29-MAR-76 17:00:00,CST,29-MAR-76 17:00:00,0,0,0,0,25K,0,,0,,,,F2,5.7,200,,,,,0,,,0,,,35.87,-91.07,35.88,-90.97,,,PUB
197603,29,1710,197603,29,1710,,9982297,ARKANSAS,5,1976,March,Tornado,C,31,CRAIGHEAD,,29-MAR-76 17:10:00,CST,29-MAR-76 17:10:00,0,0,0,0,25K,0,,0,,,,F2,9.5,33,,,,,0,,,0,,,35.88,-90.97,35.95,-90.82,,,PUB
197603,29,1720,197603,29,1720,,9982298,ARKANSAS,5,1976,March,Tornado,C,55,GREENE,,29-MAR-76 17:20:00,CST,29-MAR-76 17:20:00,0,0,0,0,25K,0,,0,,,,F2,4.9,33,,,,,0,,,0,,,35.95,-90.82,35.97,-90.73,,,PUB
197604,11,1655,197604,11,1655,,9982304,ARKANSAS,5,1976,April,Tornado,C,119,PULASKI,,11-APR-76 16:55:00,CST,11-APR-76 16:55:00,0,0,0,0,2.5K,0,,0,,,,F1,2,30,,,,,0,,,0,,,34.67,-92.23,,,,,PUB
197604,20,605,197604,20,605,,9982306,ARKANSAS,5,1976,April,Tornado,C,57,HEMPSTEAD,,20-APR-76 06:05:00,CST,20-APR-76 06:05:00,0,0,0,0,0K,0,,0,,,,F0,.5,20,,,,,0,,,0,,,33.77,-93.48,,,,,PUB
197604,20,1414,197604,20,1414,,9982307,ARKANSAS,5,1976,April,Tornado,C,143,WASHINGTON,,20-APR-76 14:14:00,CST,20-APR-76 14:14:00,0,0,0,0,0K,0,,0,,,,F0,.3,10,,,,,0,,,0,,,35.98,-94.32,,,,,PUB
197604,20,1450,197604,20,1450,,9982308,ARKANSAS,5,1976,April,Tornado,C,143,WASHINGTON,,20-APR-76 14:50:00,CST,20-APR-76 14:50:00,0,0,0,0,0K,0,,0,,,,F0,1,30,,,,,0,,,0,,,36.18,-94.13,,,,,PUB
197604,24,1550,197604,24,1550,,9982316,ARKANSAS,5,1976,April,Tornado,C,23,CLEBURNE,,24-APR-76 15:50:00,CST,24-APR-76 15:50:00,0,0,0,0,25K,0,,0,,,,F2,2,30,,,,,0,,,0,,,35.43,-92.13,,,,,PUB
197604,24,1745,197604,24,1745,,9982317,ARKANSAS,5,1976,April,Tornado,C,107,PHILLIPS,,24-APR-76 17:45:00,CST,24-APR-76 17:45:00,0,0,0,0,25K,0,,0,,,,F1,1,30,,,,,0,,,0,,,34.38,-90.83,,,,,PUB
197603,29,1400,197603,29,1400,,9982286,ARKANSAS,5,1976,March,Tornado,C,59,HOT SPRING,,29-MAR-76 14:00:00,CST,29-MAR-76 14:00:00,0,0,0,0,25K,0,,0,,,,F1,7.9,50,,,,,0,,,0,,,34.28,-93.18,34.32,-93.05,,,PUB
197604,24,1750,197604,24,1750,,9982318,ARKANSAS,5,1976,April,Tornado,C,145,WHITE,,24-APR-76 17:50:00,CST,24-APR-76 17:50:00,0,0,0,0,0K,0,,0,,,,F0,.5,20,,,,,0,,,0,,,35.25,-91.75,,,,,PUB
197603,20,1825,197603,20,1825,,9980340,ARKANSAS,5,1976,March,Tornado,C,17,CHICOT,,20-MAR-76 18:25:00,CST,20-MAR-76 18:25:00,0,0,0,0,.25K,0,,0,,,,F3,2.3,27,,,,,0,,,0,,,33.00,-91.30,33.02,-91.28,,,PUB
197603,26,1545,197603,26,1545,,9980341,ARKANSAS,5,1976,March,Tornado,C,143,WASHINGTON,,26-MAR-76 15:45:00,CST,26-MAR-76 15:45:00,0,0,0,0,250K,0,,0,,,,F2,2,77,,,,,0,,,0,,,35.87,-94.42,,,,,PUB
197603,26,1740,197603,26,1740,,9980342,ARKANSAS,5,1976,March,Tornado,C,149,YELL,,26-MAR-76 17:40:00,CST,26-MAR-76 17:40:00,4,0,0,0,2.5M,0,,0,,,,F3,16.1,100,,,,,0,,,0,,,35.05,-93.42,35.13,-93.15,,,PUB
197603,26,1850,197603,26,1850,,9980344,ARKANSAS,5,1976,March,Tornado,C,141,VAN BUREN,,26-MAR-76 18:50:00,CST,26-MAR-76 18:50:00,0,0,0,0,250K,0,,0,,,,F1,9.4,77,,,,,0,,,0,,,35.58,-92.47,35.67,-92.33,,,PUB
197603,26,1850,197603,26,1850,,9980345,ARKANSAS,5,1976,March,Tornado,C,147,WOODRUFF,,26-MAR-76 18:50:00,CST,26-MAR-76 18:50:00,2,0,0,0,250K,0,,0,,,,F3,9.6,70,,,,,0,,,0,,,35.05,-91.37,35.15,-91.25,,,PUB
197602,17,1512,197602,17,1512,,9980314,ARKANSAS,5,1976,February,Tornado,C,119,PULASKI,,17-FEB-76 15:12:00,CST,17-FEB-76 15:12:00,0,0,0,0,25K,0,,0,,,,F1,.1,20,,,,,0,,,0,,,34.73,-92.28,,,,,PUB
197602,17,1630,197602,17,1630,,9980315,ARKANSAS,5,1976,February,Tornado,C,95,MONROE,,17-FEB-76 16:30:00,CST,17-FEB-76 16:30:00,0,0,0,0,25K,0,,0,,,,F1,.3,100,,,,,0,,,0,,,34.92,-91.22,,,,,PUB
197602,17,2000,197602,17,2000,,9980316,ARKANSAS,5,1976,February,Tornado,C,3,ASHLEY,,17-FEB-76 20:00:00,CST,17-FEB-76 20:00:00,10,0,3,0,250K,0,,0,,,,F2,7.6,200,,,,,0,,,0,,,33.03,-91.52,33.13,-91.47,,,PUB
197602,17,2015,197602,17,2015,,9980317,ARKANSAS,5,1976,February,Tornado,C,17,CHICOT,,17-FEB-76 20:15:00,CST,17-FEB-76 20:15:00,36,0,0,0,250K,0,,0,,,,F2,11.9,200,,,,,0,,,0,,,33.13,-91.47,33.28,-91.37,,,PUB
197602,17,2020,197602,17,2020,,9980318,ARKANSAS,5,1976,February,Tornado,C,17,CHICOT,,17-FEB-76 20:20:00,CST,17-FEB-76 20:20:00,0,0,0,0,0K,0,,0,,,,F1,10.5,60,,,,,0,,,0,,,33.27,-91.25,33.38,-91.13,,,PUB
197602,17,2030,197602,17,2030,,9980319,ARKANSAS,5,1976,February,Tornado,C,17,CHICOT,,17-FEB-76 20:30:00,CST,17-FEB-76 20:30:00,0,0,0,0,.25K,0,,0,,,,F2,10,200,,,,,0,,,0,,,33.28,-91.37,33.40,-91.27,,,PUB
197602,20,2355,197602,20,2355,,9980322,ARKANSAS,5,1976,February,Tornado,C,29,CONWAY,,20-FEB-76 23:55:00,CST,20-FEB-76 23:55:00,0,0,0,0,2.5K,0,,0,,,,F1,.5,100,,,,,0,,,0,,,35.30,-92.62,,,,,PUB
197603,26,1745,197603,26,1745,,9980343,ARKANSAS,5,1976,March,Tornado,C,115,POPE,,26-MAR-76 17:45:00,CST,26-MAR-76 17:45:00,0,0,0,0,250K,0,,0,,,,F1,2,50,,,,,0,,,0,,,35.23,-92.92,,,,,PUB
197606,15,1805,197606,15,1805,,9982329,ARKANSAS,5,1976,June,Tornado,C,137,STONE,,15-JUN-76 18:05:00,CST,15-JUN-76 18:05:00,0,0,0,0,2.5K,0,,0,,,,F1,9.9,27,,,,,0,,,0,,,35.87,-92.28,35.92,-92.12,,,PUB
197206,8,1700,197206,8,1700,,9984427,ARKANSAS,5,1972,June,Tornado,C,63,INDEPENDENCE,,08-JUN-72 17:00:00,CST,08-JUN-72 17:00:00,0,0,0,0,25K,0,,0,,,,F2,.5,100,,,,,0,,,0,,,35.60,-91.42,,,,,PUB
197206,20,2145,197206,20,2145,,9984429,ARKANSAS,5,1972,June,Tornado,C,11,BRADLEY,,20-JUN-72 21:45:00,CST,20-JUN-72 21:45:00,0,0,0,0,25K,0,,0,,,,F3,.3,150,,,,,0,,,0,,,33.35,-92.08,,,,,PUB
197204,7,1610,197204,7,1610,,9983348,ARKANSAS,5,1972,April,Tornado,C,31,CRAIGHEAD,,07-APR-72 16:10:00,CST,07-APR-72 16:10:00,0,0,0,0,250K,0,,0,,,,F3,2,100,,,,,0,,,0,,,35.78,-92.33,,,,,PUB
197204,15,1930,197204,15,1930,,9983350,ARKANSAS,5,1972,April,Tornado,C,17,CHICOT,,15-APR-72 19:30:00,CST,15-APR-72 19:30:00,0,0,0,0,25K,0,,0,,,,F2,.5,100,,,,,0,,,0,,,33.43,-91.33,,,,,PUB
197204,7,1600,197204,7,1600,,9983346,ARKANSAS,5,1972,April,Tornado,C,111,POINSETT,,07-APR-72 16:00:00,CST,07-APR-72 16:00:00,0,0,0,0,2.5K,0,,0,,,,F1,0,50,,,,,0,,,0,,,35.63,-90.52,,,,,PUB
197204,7,1610,197204,7,1610,,9983347,ARKANSAS,5,1972,April,Tornado,C,93,MISSISSIPPI,,07-APR-72 16:10:00,CST,07-APR-72 16:10:00,0,0,0,0,25K,0,,0,,,,F2,.1,200,,,,,0,,,0,,,35.70,-89.97,,,,,PUB
197203,1,2000,197203,1,2000,,9983313,ARKANSAS,5,1972,March,Tornado,C,11,BRADLEY,,01-MAR-72 20:00:00,CST,01-MAR-72 20:00:00,0,0,0,0,2.5K,0,,0,,,,F0,2.7,200,,,,,0,,,0,,,33.40,-92.10,33.40,-92.05,,,PUB
197203,1,2040,197203,1,2040,,9983314,ARKANSAS,5,1972,March,Tornado,C,41,DESHA,,01-MAR-72 20:40:00,CST,01-MAR-72 20:40:00,0,0,0,0,250K,0,,0,,,,F2,1,300,,,,,0,,,0,,,33.88,-91.50,,,,,PUB
197203,27,2012,197203,27,2012,,9983320,ARKANSAS,5,1972,March,Tornado,C,119,PULASKI,,27-MAR-72 20:12:00,CST,27-MAR-72 20:12:00,0,0,0,0,.03K,0,,0,,,,F0,.3,50,,,,,0,,,0,,,34.62,-92.43,,,,,PUB
197203,27,2130,197203,27,2130,,9983323,ARKANSAS,5,1972,March,Tornado,C,41,DESHA,,27-MAR-72 21:30:00,CST,27-MAR-72 21:30:00,0,0,0,0,2.5K,0,,0,,,,F1,.3,50,,,,,0,,,0,,,33.75,-91.28,,,,,PUB
